letter,count
A,226919,0.08100549784580544
B,39042,0.013937205112379024
C,66927,0.02389158666452003
D,128777,0.04597078691554822
E,347508,0.12405333420912376
F,60229,0.0215005360051605
G,55783,0.019913403841602353
H,184778,0.06596201235221483
I,191655,0.06841696239467758
J,2657,0.0009484953123198368
K,22976,0.008201967744019786
L,108711,0.03880763037169807
M,70039,0.025002507783051957
N,201567,0.07195534611154406
O,215569,0.07695377718534997
P,49293,0.017596604979368352
Q,2624,0.0009367149791220368
R,164588,0.05875459031392446
S,181722,0.06487108210213978
T,250190,0.08931277462901767
U,75230,0.026855589893045283
V,28974,0.010343132547668405
W,65778,0.023481416881360264
X,4349,0.0015525051235524916
Y,52819,0.01885531573256359
Z,2575,0.0009192229692222731
